N°;MATRICULE;NOM;PRENOM;GRADE_FR;GRADE_EN;CATEGORIE_PROFESSIONNELLE;POSTE_DE_TRAVAIL_FR;POSTE_DE_TRAVAIL_EN;STRUCTURE_FR;STRUCTURE_EN;SERVICE_FR;SERVICE_EN;FAMILLE_METIER_FR;FAMILLE_METIER_EN;REGION_FR;REGION_EN;DEPARTEMENT_FR;DEPARTEMENT_EN;COMMUNE_FR;COMMUNE_EN;DATE_E_ADM;DATE_NAISSANCE;LIEU_NAISSANCE;SEXE;ETATCIVIL;TEL;EMAIL
1418;MAT515474;Laurent;Victor;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/8;CHEF DE BRIGADE RECOUVREMENT;Chef De Brigade Recouvrement;CENTRE REGIONAL DES IMPOTS DE L'OUEST;Centre Regional Des Impots De L'Ouest;CDI MENOUA;Cdi Menoua;CDI MENOUA;CDI MENOUA;OUEST;WEST;BAMBOUTOS;Bamboutos;MBOUDA;Mbouda;01/01/2009;16/12/1971;MANJO;M;MARIE(E);664824018;vdupont@free.fr
1419;MAT317593;Antoine;Victoire;INGENIEUR DE LA STATISTIQUE;Ingenieur De La Statistique;870;CHARGÉ D'ETUDES ASSISTANT;Chargé D'Etudes Assistant;DIVISION DES STATISTIQUES DES SIMULATIONS ET DE L'IMMATRICULATION;Division Des Statistiques Des Simulations Et De L'Immatriculation;CELLULE DES STATISTIQUES ET DES SIMULATIONS;Cellule Des Statistiques Et Des Simulations;CELLULE DES STATISTIQUES ET DES SIMULATIONS;CELLULE DES STATISTIQUES ET DES SIMULATIONS;OUEST;WEST;HAUTS-PLATEAUX;Hauts-Plateaux;BAMENDJOU;Bamendjou;13/07/2013;19/12/1986;PENJA;M;CELIBATAIRE;672800126;gillesevrard@martin.fr
1420;MAT865251;Charrier;Adrienne;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;785;INSPECTEUR VÉRIFICATEUR PI;Inspecteur Vérificateur Pi;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CIME YDE EST;Cime Yde Est;CIME YDE EST;CIME YDE EST;LITTORAL;LITTORAL;WOURI;Wouri;DOUALA 5;Douala 5;12/02/2009;13/02/1980;DOUALA;F;MARIE(E);637073938;vincent50@besson.com
1421;MAT164682;Vidal;Valentine;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;630;INSPECTEUR DES SERVICES ASSISTANT;Inspecteur Des Services Assistant;INSPECTION DES SERVICES DES IMPOTS;Inspection Des Services Des Impots;INSPECTION DES SERVICES DES IMPOTS;Inspection Des Services Des Impots;INSPECTION DES SERVICES DES IMPOTS;INSPECTION DES SERVICES DES IMPOTS;LITTORAL;LITTORAL;MOUNGO;Moungo;NKONGSAMBA;Nkongsamba;05/01/2017;11/07/1992;FOUMBAN;M;CELIBATAIRE;682674875;veroniquele-roux@petitjean.com
1422;MAT326847;Leblanc;Anastasie;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;740;INSPECTEUR GESTIONNAIRE;Inspecteur Gestionnaire;CENTRE REGIONAL DES IMPOTS DE L'EXTREME NORD;Centre Regional Des Impots De L'Extreme Nord;CIME MAROUA;Cime Maroua;CIME MAROUA;CIME MAROUA;EXTREME-NORD;FAR NORTH;MAYO DANAY;Mayo Danay;GOBO;Gobo;23/11/2005;01/01/1980;;M;MARIE(E);627012815;seguinalfred@ifrance.com
1423;MAT448477;Joubert;Olivier;CONTROLEUR DES IMPÔTS;Controleur Des Impôts;530;INSPECTEUR GESTIONNAIRE;Inspecteur Gestionnaire;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CDI1/CRIC1;Cdi1/Cric1;CDI1/CRIC1;CDI1/CRIC1;OUEST;WEST;BAMBOUTOS;Bamboutos;MBOUDA;Mbouda;20/08/2007;19/11/1983;Yaoundé;M;MARIE(E);665922395;lsamson@bouygtel.fr
1424;MAT893618;Neveu;Gilbert;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;785;INSPECTEUR VÉRIFICATEUR;Inspecteur Vérificateur;CENTRE REGIONAL DES IMPOTS DE L'OUEST;Centre Regional Des Impots De L'Ouest;CIME BAFOUSSAM;Cime Bafoussam;CIME BAFOUSSAM;CIME BAFOUSSAM;OUEST;WEST;NOUN;Noun;KOUTABA;Koutaba;14/06/2004;19/12/1971;;M;MARIE(E);631351561;emmanuellegonzalez@breton.fr
1425;MAT344673;Collet;Frédérique;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;785;CHEF DE CELLULE DE GESTION;Chef De Cellule De Gestion;CENTRE REGIONAL DES IMPOTS DU NORD OUEST;Centre Regional Des Impots Du Nord Ouest;CIME BAMENDA;Cime Bamenda;CIME BAMENDA;CIME BAMENDA;NORD-OUEST;NORTHWEST;BUI;Bui;KUMBO;Kumbo;23/11/2005;07/11/1982;MELUF Bui DIVISION;F;MARIE(E);679781734;emile04@ferrand.fr
1426;MAT473297;Mary;Suzanne;CONTROLEUR DES IMPÔTS;Controleur Des Impôts;300;COMPLÉMENT D'EFFECTIF CELLULE DE GESTION;Complément D'Effectif Cellule De Gestion;CENTRE REGIONAL DES IMPOTS DU NORD;Centre Regional Des Impots Du Nord;CDI BENOUE;Cdi Benoue;CDI BENOUE;CDI BENOUE;NORD-OUEST;NORTHWEST;MENCHUM;Menchum;FUNGOM;Fungom;04/05/2021;25/03/1993;WUM;M;CELIBATAIRE;655898040;jeanmunoz@legrand.net
1427;MAT182476;Bouchet;Élise;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/5;SECRETAIRE;Secretaire;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL 2;Centre Régional Des Impôts Du Littoral 2;CDI4/CRIL2;Cdi4/Cril2;CDI4/CRIL2;CDI4/CRIL2;OUEST;WEST;KOUNG-KHI;Koung-Khi;BAYANGAM;Bayangam;01/01/2009;26/07/1976;BATOUFAM;F;MARIE(E);697206813;julien98@michaud.org
1428;MAT438830;Olivier;Aimée;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1005;INSPECTEUR VÉRIFICATEUR;Inspecteur Vérificateur;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CSPLI MFOUNDI;Cspli Mfoundi;CSPLI MFOUNDI;CSPLI MFOUNDI;EST;EAST;BOUMBA ET NGOKO;Boumba Et Ngoko;YOKADOUMA;Yokadouma;28/08/2006;27/05/1977;Yokadouma;M;MARIE(E);662842146;christelleraynaud@brunet.com
1429;MAT492938;Perrier;Capucine;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1005;INSPECTEUR VERIFICATEUR;Inspecteur Verificateur;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;CIME YDE OUEST;Cime Yde Ouest;CIME YDE OUEST;CIME YDE OUEST;NORD-OUEST;NORTHWEST;BUI;Bui;JAKIRI;Jakiri;20/06/2005;16/05/1973;BABESSI NDOP;F;CELIBATAIRE;689940769;denis33@dbmail.com
1430;MAT440939;Picard;Maryse;PROFESSEUR DES ECOLES NORMALES D'INSTITUTEURS;Professeur Des Ecoles Normales D'Instituteurs;785;CHEF DE SERVICE;Chef De Service;CENTRE REGIONAL DES IMPOTS DE L'EXTREME NORD;Centre Regional Des Impots De L'Extreme Nord;SERVCOM/CRIEN;Servcom/Crien;SERVCOM/CRIEN;SERVCOM/CRIEN;EXTREME-NORD;FAR NORTH;DIAMARE;Diamare;MAROUA;Maroua;13/03.2011;15/10/1985;NGAOUNDERE;F;CELIBATAIRE;661917710;joseph38@tiscali.fr
1431;MAT227894;Alexandre;Joséphine;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/6;CHEF DE SERVICE;Chef De Service;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE EXTÉRIEUR;Centre Régional Des Impôts Du Centre Extérieur;SAG/CRIC EXT;Sag/Cric Ext;SAG/CRIC EXT;SAG/CRIC EXT;ADAMAOUA;ADAMAWA;VINA;Vina;MBE;Mbe;01/01/2009;11/06/1977;Mbe;F;MARIE(E);628431394;jeanninebaudry@delahaye.com
1432;MAT298748;Duhamel;Alain;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/3;COMPLEMENT D'EFFECTIF;Complement D'Effectif;DIRECTION DES AFFAIRES GENERALES;Direction Des Affaires Generales;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;Sous-Direction Du Budget Et Du Materiel;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;EST;EAST;HAUT-NYONG;Haut-Nyong;MESSAMENA;Messamena;02/01/2019;26/01/1999;Bertoua;M;CELIBATAIRE;633215429;drichard@bouygtel.fr
1433;MAT637981;Lemonnier;Julien;PROFESSEUR DES COLLEGES DE L'ENSEIGNEMENT GÉNÉRAL;Professeur Des Colleges De L'Enseignement Général;530;COMPLEMENT D'EFFECTIF;Complement D'Effectif;DIVISION DES STATISTIQUES DES SIMULATIONS ET DE L'IMMATRICULATION;Division Des Statistiques Des Simulations Et De L'Immatriculation;CELLULE DE L'IMMATRICULATION;Cellule De L'Immatriculation;CELLULE DE L'IMMATRICULATION;CELLULE DE L'IMMATRICULATION;LITTORAL;LITTORAL;MOUNGO;Moungo;MELONG;Melong;01/10/2019;26/08/1998;Mbalmayo;M;CELIBATAIRE;696570776;da-silvavincent@leclerc.com
1434;MAT853401;Raynaud;Emmanuelle;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/6;CHEF DE CELLULE DE GESTION;Chef De Cellule De Gestion;CENTRE REGIONAL DES IMPOTS DU NORD OUEST;Centre Regional Des Impots Du Nord Ouest;CDI MOMO;Cdi Momo;CDI MOMO;CDI MOMO;OUEST;WEST;BAMBOUTOS;Bamboutos;MBOUDA;Mbouda;01/01/2009;28/06/1970;;M;MARIE(E);678717698;iallard@carre.fr
1435;MAT611998;Thomas;Manon;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;540;Chef de Centre;Chef De Centre;CENTRE REGIONAL DES IMPOTS DU SUD;Centre Regional Des Impots Du Sud;CDI MEYOMESSALA;Cdi Meyomessala;CDI MEYOMESSALA;CDI MEYOMESSALA;LITTORAL;LITTORAL;WOURI;Wouri;DOUALA 1;Douala 1;23/09/2009;09/07/1978;Douala;M;MARIE(E);636110219;guyboutin@bouygtel.fr
1436;MAT541122;Bonnet;Margaret;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;370;Chef de Centre PI;Chef De Centre Pi;CENTRE REGIONAL DES IMPOTS DU NORD;Centre Regional Des Impots Du Nord;CDI FARO;Cdi Faro;CDI FARO;CDI FARO;EXTREME-NORD;FAR NORTH;MAYO-KANI;Mayo-Kani;KAELE;Kaele;10/07/2012;21/12/1982;Yaoundé;M;CELIBATAIRE;651407547;umahe@jacquot.fr
1437;MAT802487;Langlois;Sébastien;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;785;CADRE D'APPUI;Cadre D'Appui;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CSPLI MFOUNDI;Cspli Mfoundi;CSPLI MFOUNDI;CSPLI MFOUNDI;EST;EAST;HAUT-NYONG;Haut-Nyong;MESSAMENA;Messamena;15/12/2003;04/09/1975;MPACKI;M;MARIE(E);656362617;andregrondin@dbmail.com
1438;MAT114876;Turpin;Henriette;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;610;INSPECTEUR GESTIONNAIRE;Inspecteur Gestionnaire;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CIME YDE EST;Cime Yde Est;CIME YDE EST;CIME YDE EST;CENTRE;CENTER;LEKIE;Lekie;OKOLA;Okola;08/12/2004;18/07/1977;Monatélé;F;MARIE(E);691392844;alexandreweiss@orange.fr
1439;MAT552979;Royer;Jeanne;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/8;FONDÉ DE POUVOIR;Fondé De Pouvoir;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL 2;Centre Régional Des Impôts Du Littoral 2;CDI5/CRIL2;Cdi5/Cril2;CDI5/CRIL2;CDI5/CRIL2;LITTORAL;LITTORAL;SANAGA MARITIME;Sanaga Maritime;EDEA 1;Edea 1;01/01/2009;26/10/1978;DOUALA;F;CELIBATAIRE;685459565;gilbertmarechal@vidal.fr
1440;MAT376100;Fournier;Aimée;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1050;INSPECTEUR VÉRIFICATEUR PI;Inspecteur Vérificateur Pi;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL EXTÉRIEUR;Centre Régional Des Impôts Du Littoral Extérieur;CIME LITTORAL EXTÉRIEUR;Cime Littoral Extérieur;CIME LITTORAL EXTÉRIEUR;CIME LITTORAL EXTÉRIEUR;SUD-OUEST;SOUTHWEST;KUPEMANENGUBA;Kupemanenguba;NGUTI;Nguti;17/08/2001;12/05/1967;;M;MARIE(E);683280638;poirierpaul@orange.fr
1441;MAT289585;Rossi;Jules;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/4;AGENT DE LA COMPTABILITÉ CAISSE;Agent De La Comptabilité Caisse;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;CSI/EPA;Csi/Epa;CSI/EPA;CSI/EPA;CENTRE;CENTER;LEKIE;Lekie;OBALA;Obala;01/01/2009;12/04/1978;Mbakomo;F;CELIBATAIRE;605658132;slanglois@le.fr
1442;MAT653037;Becker;Océane;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;480;INSPECTEUR GESTIONNAIRE;Inspecteur Gestionnaire;CENTRE REGIONAL DES IMPOTS DU NORD;Centre Regional Des Impots Du Nord;CIME GAROUA;Cime Garoua;CIME GAROUA;CIME GAROUA;LITTORAL;LITTORAL;NKAM;Nkam;YABASSI;Yabassi;13/03/2019;24/02/1988;Douala;F;CELIBATAIRE;615850728;vgauthier@free.fr
1443;MAT481203;Grondin;Théodore;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;CHEF DE SERVICE DE L'INFORMATION;Chef De Service De L'Information;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CSPLI MFOUNDI;Cspli Mfoundi;CSPLI MFOUNDI;CSPLI MFOUNDI;CENTRE;CENTER;NYONG ET MFOUMOU;Nyong Et Mfoumou;AKONOLINGA;Akonolinga;01/01/2009;09/03/1981;BATOURI;F;CELIBATAIRE;601063556;garniergilles@petitjean.org
1444;MAT386761;Barbe;Guy;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;405;COMPLEMENT D'EFFECTIF;Complement D'Effectif;DIVISION DU CONTENTIEUX;Division Du Contentieux;CELLULE DU CONTENTIEUX FISCAL;Cellule Du Contentieux Fiscal;CELLULE DU CONTENTIEUX FISCAL;CELLULE DU CONTENTIEUX FISCAL;CENTRE;CENTER;MBAM ET KIM;Mbam Et Kim;YOKO;Yoko;09/12/2015;15/10/1994;YAOUNDE;F;CELIBATAIRE;628926053;massonodette@sanchez.fr
1445;MAT323127;Roy;Robert;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CABINET;Cabinet;CABINET;Cabinet;CABINET;CABINET;ADAMAOUA;ADAMAWA;DJEREM;Djerem;NDE;Nde;01/01/2009;12/02/1968;Bangoua;F;MARIE(E);692586252;ale-goff@lesage.com
1446;MAT167201;Bonnet;Clémence;INSTITUTRICE DE L'ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL;Institutrice De L'Enseignement Technique Et Professionnel;300;COMPLEMENT D'EFFECTIF;Complement D'Effectif;DIRECTION DU RECOUVREMENT, DES VALEURS FISCALES ET DE LA CURATELLE;Direction Du Recouvrement, Des Valeurs Fiscales Et De La Curatelle;SOUS-DIRECTION DES VALEURS FISCALES;Sous-Direction Des Valeurs Fiscales;SOUS-DIRECTION DES VALEURS FISCALES;SOUS-DIRECTION DES VALEURS FISCALES;CENTRE;CENTER;LEKIE;Lekie;OBALA;Obala;18/08/2009;09/09/1974;à yaounde;F;MARIE(E);697198101;eleonorebouchet@chauvet.fr
1447;MAT971787;Besson;Victoire;AGENT CONTRACTUEL D'ADMINISTRATION;Agent Contractuel D'Administration;8/6;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL 2;Centre Régional Des Impôts Du Littoral 2;CIME AKWA 2;Cime Akwa 2;CIME AKWA 2;CIME AKWA 2;CENTRE;CENTER;LEKIE;Lekie;EBEBDA;Ebebda;01/01/2009;18/10/1969;ETAM-KOUMA;M;MARIE(E);697924188;josette14@gmail.com
1448;MAT958594;Bonneau;Alphonse;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;CHEF DE SERVICE;Chef De Service;DIRECTION DES GRANDES ENTREPRISES;Direction Des Grandes Entreprises;SERVICE DE L'INFORMATION DES ENTREPRISES - DGE;Service De L'Information Des Entreprises - Dge;SERVICE DE L'INFORMATION DES ENTREPRISES - DGE;SERVICE DE L'INFORMATION DES ENTREPRISES - DGE;CENTRE;CENTER;NYONG ET KELLE;Nyong Et Kelle;MESSONDO;Messondo;01/01/2009;03/08/1972;NKONGSAMBA;M;MARIE(E);699095061;gregoirebarbier@rodrigues.fr
1449;MAT843249;Marion;Jacqueline;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1050;COORDONNATEUR;Coordonnateur;PROGRAMME DE SECURISATION DES RECETTES ROUTIERES;Programme De Securisation Des Recettes Routieres;PSRR/CAB COORDO;Psrr/Cab Coordo;PSRR/CAB COORDO;PSRR/CAB COORDO;CENTRE;CENTER;NYONG ET KELLE;Nyong Et Kelle;MESSONDO;Messondo;08/07/2002;17/10/1969;Yaoundé;M;MARIE(E);676669184;valbert@costa.net
1450;MAT771522;Nicolas;Augustin;INSPECTEUR DU TRESOR;Inspecteur Du Tresor;530;RECEVEUR REGIONAL;Receveur Regional;CENTRE REGIONAL DES IMPOTS DU NORD;Centre Regional Des Impots Du Nord;RRI/CRIN;Rri/Crin;RRI/CRIN;RRI/CRIN;EXTREME-NORD;FAR NORTH;DIAMARE;Diamare;MAROUA;Maroua;14/05/2013;25/01/1980;Maroua;M;MARIE(E);629571677;leclercelise@orange.fr
1451;MAT424580;Roche;Danielle;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/12;CHEF DE SERVICE;Chef De Service;CENTRE REGIONAL DES IMPOTS DU NORD OUEST;Centre Regional Des Impots Du Nord Ouest;RRI/CRINW;Rri/Crinw;RRI/CRINW;RRI/CRINW;NORD-OUEST;NORTHWEST;BUI;Bui;NKUM;Nkum;01/01/1998;22/10/1973;DZENG;M;CELIBATAIRE;619326259;alicemeyer@courtois.fr
1452;MAT593464;Paul;Élodie;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1005;CHEF DE SOUS BRIGADE;Chef De Sous Brigade;CENTRE REGIONAL DES IMPOTS DE L'OUEST;Centre Regional Des Impots De L'Ouest;CIME BAFOUSSAM;Cime Bafoussam;CIME BAFOUSSAM;CIME BAFOUSSAM;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;BENGBIS;Bengbis;08/07/2002;23/09/1967;KRIBI;M;MARIE(E);685723007;frederique42@leclercq.org
1453;MAT361005;Blot;Élisabeth;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;740;INSPECTEUR VÉRIFICATEUR;Inspecteur Vérificateur;DIRECTION DU RECOUVREMENT, DES VALEURS FISCALES ET DE LA CURATELLE;Direction Du Recouvrement, Des Valeurs Fiscales Et De La Curatelle;SOUS-DIRECTION DES VALEURS FISCALES;Sous-Direction Des Valeurs Fiscales;SOUS-DIRECTION DES VALEURS FISCALES;SOUS-DIRECTION DES VALEURS FISCALES;SUD-OUEST;SOUTHWEST;KUPEMANENGUBA;Kupemanenguba;BANGEM;Bangem;01/01/2009;16/03/1983;à KUMBA;F;MARIE(E);627087001;marchandtheodore@dbmail.com
1454;MAT392769;Delahaye;Jacqueline;CONTROLEUR DES IMPÔTS;Controleur Des Impôts;270;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DE L'OUEST;Centre Regional Des Impots De L'Ouest;CIME BAFOUSSAM;Cime Bafoussam;CIME BAFOUSSAM;CIME BAFOUSSAM;OUEST;WEST;NOUN;Noun;FOUMBAN;Foumban;23/07/2024;22/05/1998;FOUMBAN;F;CELIBATAIRE;615651623;dupuyfrederic@hotmail.fr
1455;MAT732568;Loiseau;Thierry;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;740;CHEF DE CELLULE DE GESTION;Chef De Cellule De Gestion;CENTRE REGIONAL DES IMPOTS DE L'EST;Centre Regional Des Impots De L'Est;CIME BERTOUA;Cime Bertoua;CIME BERTOUA;CIME BERTOUA;SUD-OUEST;SOUTHWEST;FAKO;Fako;BUEA;Buea;29/04/2011;18/09/1983;BUEA;M;MARIE(E);607806519;suzanne76@dbmail.com
1456;MAT752996;Cohen;Anaïs;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;740;INSPECTEUR VÉRIFICATEUR;Inspecteur Vérificateur;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL 2;Centre Régional Des Impôts Du Littoral 2;CIME AKWA 1;Cime Akwa 1;CIME AKWA 1;CIME AKWA 1;LITTORAL;LITTORAL;SANAGA MARITIME;Sanaga Maritime;NYANON;Nyanon;23/11/2005;18/05/1981;Yaoundé;M;MARIE(E);602614972;francois16@ifrance.com
1457;MAT243065;Marin;Stéphanie;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;CONTRÔLEUR GESTIONNAIRE;Contrôleur Gestionnaire;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;CIME YDE OUEST;Cime Yde Ouest;CIME YDE OUEST;CIME YDE OUEST;SERVICES EXTERIEURS;;AMBACAM_Afrique;Ambacam Afrique;INCONNUE;Inconnue;01/01/2009;23/04/1968;Douala;F;CELIBATAIRE;623731846;mpons@benoit.com
1458;MAT196625;Pelletier;Guillaume;CONTROLEUR DES IMPÔTS;Controleur Des Impôts;300;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DE L'ADAMAOUA;Centre Regional Des Impots De L'Adamaoua;CIME NGAOUNDERE;Cime Ngaoundere;CIME NGAOUNDERE;CIME NGAOUNDERE;SUD-OUEST;SOUTHWEST;FAKO;Fako;BUEA;Buea;04/05/2021;11/04/1994;Bota-Limbé;F;CELIBATAIRE;673227250;jeanne79@vallet.fr
1459;MAT115746;Petit;Thibault;AGENT CONTRACTUEL D'ADMINISTRATION;Agent Contractuel D'Administration;8/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DE L'EST;Centre Regional Des Impots De L'Est;CDI LOM ET DJEREM;Cdi Lom Et Djerem;CDI LOM ET DJEREM;CDI LOM ET DJEREM;LITTORAL;LITTORAL;MOUNGO;Moungo;LOUM;Loum;01/01/2009;26/05/1974;YAOUNDE;M;MARIE(E);674763730;guillaumegregoire@boutin.fr
1460;MAT173074;Grégoire;Monique;CADRE CONTRACTUEL EN INFORMATIQUE;Cadre Contractuel En Informatique;10/7;CHEF DE SERVICE DU FICHIER;Chef De Service Du Fichier;CENTRE REGIONAL DES IMPOTS DU SUD OUEST;Centre Regional Des Impots Du Sud Ouest;CIME LIMBE;Cime Limbe;CIME LIMBE;CIME LIMBE;LITTORAL;LITTORAL;NKAM;Nkam;YINGUI;Yingui;05/12/2011;10/09/1981;NEW-BELL;M;CELIBATAIRE;686302537;alphonsegimenez@ifrance.com
1461;MAT837817;Girard;Alexandre;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;9/7;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CDI2/CRIC1;Cdi2/Cric1;CDI2/CRIC1;CDI2/CRIC1;SUD;SOUTH;MVILA;Mvila;BIWONG BANE;Biwong Bane;01/01/2009;01/01/1970;Enongal - Ebolowa;M;MARIE(E);676083795;elise27@tele2.fr
1462;MAT150931;Sanchez;Guillaume;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;560;CHEF DE SERVICE;Chef De Service;CENTRE REGIONAL DES IMPOTS DU SUD;Centre Regional Des Impots Du Sud;RRI/CRIS;Rri/Cris;RRI/CRIS;RRI/CRIS;CENTRE;CENTER;NYONG ET KELLE;Nyong Et Kelle;ESEKA;Eseka;07/01/2009;05/02/1979;NTOULENG;M;MARIE(E);619757363;leroylaure@noos.fr
1463;MAT507406;Girard;Capucine;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;605;COMPLEMENT D'EFFECTIF;Complement D'Effectif;DIVISION DE LA LEGISLATION ET DES RELATIONS FISCALES INTERNATIONALES;Division De La Legislation Et Des Relations Fiscales Internationales;CELLULE DE LA LÉGISLATION FISCALE;Cellule De La Législation Fiscale;CELLULE DE LA LÉGISLATION FISCALE;CELLULE DE LA LÉGISLATION FISCALE;OUEST;WEST;MENOUA;Menoua;DSCHANG;Dschang;02/11/2010;30/03/1980;DSCHANG;M;MARIE(E);682211582;tmarty@club-internet.fr
1464;MAT250110;Lucas;Bernadette;CONTROLEUR DES IMPÔTS;Controleur Des Impôts;300;CHARGÉ D'ETUDES ASSISTANT;Chargé D'Etudes Assistant;MINISTERE DE L'ECONOMIE DE LA PLANIFICATION ET DE L'AMENAGEMENT DU TERRITOIRE;Ministere De L'Economie De La Planification Et De L'Amenagement Du Territoire;MINISTERE DE L'ECONOMIE DE LA PLANIFICATION ET DE L'AMENAGEMENT DU TERRITOIRE;Ministere De L'Economie De La Planification Et De L'Amenagement Du Territoire;MINISTERE DE L'ECONOMIE DE LA PLANIFICATION ET DE L'AMENAGEMENT DU TERRITOIRE;MINISTERE DE L'ECONOMIE DE LA PLANIFICATION ET DE L'AMENAGEMENT DU TERRITOIRE;;;;;AKOM 2;Akom 2;20/06/2007;28/03/1980;;M;CELIBATAIRE;692048490;ylopez@ifrance.com
1465;MAT177214;Jacquot;Sabine;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;940;CHARGÉ D'ETUDES ASSISTANT;Chargé D'Etudes Assistant;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;CCX/CRIC2;Ccx/Cric2;CCX/CRIC2;CCX/CRIC2;CENTRE;CENTER;NYONG ET MFOUMOU;Nyong Et Mfoumou;AYOS;Ayos;20/06/2003;17/03/1975;AYOS;F;MARIE(E);622103348;nicolaslecoq@michel.com
